countryName;EPRTRSectorCode;eprtrSectorName;EPRTRAnnexIMainActivityCode;EPRTRAnnexIMainActivityLabel;FacilityInspireID;facilityName;facilityNameConfidentialityReason;Longitude;Latitude;addressConfidentialityReason;City;targetRelease;pollutant;releasesConfidentialityReason;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,751557957;55,59211584;;Fredericia;AIR;Carbon dioxide (CO2);;473000000;419000000;426000000;;;;;;;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,751557957;55,59211584;;Fredericia;AIR;Nitrogen oxides (NOX);;889000;843000;1030000;;;;;;;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,751557957;55,59211584;;Fredericia;AIR;Non-methane volatile organic compounds (NMVOC);;1190000;984000;1310000;;;;;;;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,751557957;55,59211584;;Fredericia;AIR;Particulate matter (PM10);;100000;151000;159000;;;;;;;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,751557957;55,59211584;;Fredericia;AIR;Sulphur oxides (SOX);;918000;1170000;639000;;;;;;;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,75242337;55,59122786;;Fredericia;AIR;Carbon dioxide (CO2);;;;;;;;;;;;;439407000;432999000;414732000;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,75242337;55,59122786;;Fredericia;AIR;Nitrogen oxides (NOX);;;;;;;;;;;;;621260;583593;513119;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,75242337;55,59122786;;Fredericia;AIR;Non-methane volatile organic compounds (NMVOC);;;;;;;;;;;;;1038000;1010000;1053000;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,75242337;55,59122786;;Fredericia;AIR;Sulphur oxides (SOX);;;;;;;;;;;;;1332000;985940;755743;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,7542;55,5965;;Fredericia;AIR;Carbon dioxide (CO2);;;;;;;;;;;;403000000;;;;
